student_id,stress_level,cognitive_performance,number sequences marks,perimeter marks,ratio marks,fractions/decimals marks,indices marks,algebra marks,angles marks,volume and capacity marks,area marks,probability marks,recommended_lesson
S00001,High,Low,3,2,2,1,3,1,4,4,5,1,fractions/decimals
S00002,Low,Average,3,7,4,7,4,4,4,6,4,4,number sequences 
S00003,Low,Average,6,4,6,7,3,6,5,5,5,7,indices 
S00004,Medium,Very High,5,6,7,8,6,8,9,6,7,6,number sequences 
S00005,High,Low,0,1,2,2,3,0,3,1,1,0,number sequences 
S00006,Low,Average,7,6,7,8,6,6,6,8,8,6,perimeter 
S00007,Medium,Average,4,7,8,6,5,5,6,4,5,8,number sequences 
S00008,Medium,Average,2,5,3,3,6,4,5,6,5,6,number sequences 
S00009,Medium,Average,4,4,5,6,3,5,5,5,5,3,indices 
S00010,High,Average,3,5,2,5,6,4,6,4,4,3,ratio 
S00011,Medium,Average,7,5,6,6,8,6,6,7,9,7,perimeter 
S00012,Low,High,8,7,8,10,9,8,9,10,10,9,perimeter 
S00013,Low,Low,9,9,6,9,6,9,8,5,9,5,volume and capacity 
S00014,Low,High,7,6,6,7,10,7,6,8,9,7,perimeter 
S00015,Medium,High,7,9,8,7,9,7,7,9,6,8,area 
S00016,Medium,Average,4,8,5,4,8,5,5,5,7,7,number sequences 
S00017,Medium,High,5,7,7,7,8,6,4,8,8,7,angles 
S00018,Medium,High,8,6,8,7,5,4,7,8,8,7,algebra 
S00019,High,Low,3,3,3,5,3,5,4,4,5,3,number sequences 
S00020,Low,Average,4,8,5,4,5,4,8,6,6,7,number sequences 
S00021,Medium,Low,2,2,5,4,4,4,5,3,4,3,number sequences 
S00022,Medium,Average,2,4,6,5,5,5,3,3,2,5,number sequences 
S00023,Low,Low,3,4,3,5,6,5,4,5,5,6,number sequences 
S00024,High,High,6,6,5,8,6,6,5,8,5,6,ratio 
S00025,Medium,Average,6,4,4,2,4,6,4,5,5,6,fractions/decimals 
