No,Age,Male/Female,number sequences marks,number sequences time(s),number sequences duration,number sequences answered,perimeter marks,perimeter time(s),perimeter duration,perimeter answered,ratio marks,ratio time(s),ratio duration,ratio answered,fractions/decimals marks,fractions/decimals time(s),fractions/decimals duration,fractions/decimals answered,indices marks,indices time(s),indices duration,indices answered,algebra marks,algebra time(s),algebra duration,algebra answered,angles marks,angles time(s),angles duration,angles answered,volume and capacity marks,volume and capacity time(s),volume and capacity duration,volume and capacity answered (1),area arks,area time(s),area duration,area answered (2),probability marks,probability time(s),probability duration,probability answered (4),Total,Pre-Marks,Pure math marks (47),Applied math mark (53),No of questions attempted (21),Preferred Study Method,Preferred Lesson,Disliked lesson,fav subject,disliked subject
1,14,M,2,257,257,2,3.0,501,244,2,5,774,273,2,3,1381,607,2,0.0,1909.0,528,1,6,1952,43,2,8,2211,259,2,0,2428.0,217,1,0,,65,1,0,,0,0,27.0,2,16.0,11.0,15,practicing,number sequeces,set theory,sinhala,geography
2,14,M,2,212,212,2,3.0,410,198,2,3,729,319,2,3,1381,652,2,0.0,1651.0,270,2,6,1979,328,2,11,2250,271,2,0,2250.0,95,1,0,2250.0,85,1,2,2380.0,130,1,30.0,2,19.0,11.0,17,Only school lessons,area,fractions,sinhala,maths
3,14,M,2,169,169,2,3.0,357,188,2,7,690,333,2,6,1437,747,2,1.5,1700.0,263,2,8,1820,120,2,11,2240,420,2,0,0.0,65,1,0,,75,1,1,2377.0,390,1,39.5,9,22.5,17.0,17,Only school lessons,probability,area,english,science
4,14,M ,3,188,188,2,3.0,623,435,2,7,810,187,2,6,991,181,2,0.0,1604.0,613,2,6,1957,353,2,12,2236,279,2,0,1800.0,105,1,0,1805.0,5,1,4,,345,2,41.0,5,21.0,20.0,18,Only school lessons,nan,none,none,none
5,14,F,4,253,253,2,2.0,560,307,2,3,695,135,2,0,739,44,2,0.0,,0,0,8,1092,353,1,6,1307,215,2,0,,15,1,0,1976.0,1976,2,0,,0,0,23.0,10,18.0,5.0,14,Only school lessons,fractions,area,sinhala,health
6,14,F,4,257,257,2,3.0,475,218,2,0,665,190,1,0,710,45,1,0.0,,0,0,4,1098,1098,1,6,2385,1287,2,0,,0,0,0,2011.0,2011,2,0,,0,0,17.0,Ab,14.0,3.0,11,practicing,angles,decimals,sinhala,health
7,14,F,3,154,154,2,3.0,461,307,2,0,441,287,2,0,1201,760,2,0.0,1324.0,123,2,2,1561,237,2,0,1740,179,2,0,1860.0,120,1,0,2100.0,240,2,0,,75,1,8.0,6,5.0,3.0,18,practicing,angles,percentages,history,PTS
8,14,F,3,180,180,2,3.0,269,89,2,0,420,151,2,0,998,578,2,1.5,1197.0,199,2,6,1291,94,1,0,1801,510,2,1,2055.0,254,1,0,1869.0,204,2,0,,0,0,14.5,6,10.5,4.0,16,Only school lessons,nan,none,none,none
9,15,F,4,96,96,1,5.0,281,185,2,9,403,122,2,2,664,261,2,0.0,1476.0,812,1,4,1664,188,2,12,1292,428,2,0,0.0,0,0,1,976.0,200,2,4,2340.0,764,4,41.0,20,20.0,21.0,18,Only school lessons,percentages,area,home science,science
10,15,F,6,97,97,2,5.0,223,126,2,11,319,96,2,12,622,303,2,0.0,843.0,221,2,4,1145,302,2,13,1282,137,2,1,2423.0,380,1,3,2725.0,302,2,5,0.0,315,4,60.0,69,23.0,37.0,21,practicing,percentages,none,maths,english
11,14,M,4,313,313,1,5.0,543,230,2,6,590,47,2,11,1125,535,2,0.0,0.0,0,0,8,1633,254,1,13,1506,375,2,0,0.0,0,0,1,2056.0,512,2,3,263.0,263,2,51.0,15,25.0,26.0,14,Only school lessons,angles,none,science,history
12,14,M,2,131,131,1,5.0,370,239,2,6,498,128,2,6,1211,713,2,0.0,0.0,0,0,8,0,0,1,12,1485,474,2,0,0.0,0,0,1,1894.0,409,2,5,2423.0,529,3,45.0,7,22.0,23.0,15,practicing,nan,none,science,tamil
13,15,M ,3,70,70,2,4.0,199,129,2,6,352,153,1,5,1741,1389,2,0.0,2210.0,469,2,8,1643,445,2,10,2431,788,2,1,0.0,70,1,0,0.0,0,0,0,0.0,0,0,37.0,15,21.0,16.0,14,figures,fractions,circle theory,health,none
14,15,M,4,56,56,2,2.5,154,98,2,9,198,44,2,9,385,187,2,0.0,1311.0,926,2,12,1606,295,2,12,1962,356,2,2,2202.0,240,1,6,2400.0,198,2,6,2340.0,302,2,62.5,40,28.0,34.5,19,practicing,nan,none,none,none
15,13,F,2,105,105,2,3.0,190,85,1,9,388,198,2,0,437,49,1,0.0,648.0,211,2,4,821,173,1,4,1254,433,2,0,1338.0,84,1,0,1558.0,220,2,7,2145.0,587,3,29.0,8,10.0,19.0,17,Only school lessons,probability,fractions,civics,none
16,13,F,2,175,175,2,3.0,718,543,1,0,437,350,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1080,380,1,0,1440.0,423,1,0,1560.0,120,1,1,2400.0,340,2,6.0,6,2.0,4.0,10,Only school lessons,Tessellation,none,health,maths
17,13,F,4,185,185,1,3.0,863,678,2,6,1537,674,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1213,181,1,0,0.0,0,0,0,1723.0,223,1,8,2400.0,477,3,21.0,Ab ,4.0,17.0,10,Only school lessons,Tessellation,none,dancing,maths
18,15,F,4,75,75,2,3.0,132,57,2,9,305,173,2,0,0,0,2,0.0,0.0,0,1,2,0,60,1,2,0,72,1,3,1320.0,388,1,0,1380.0,472,2,6,0.0,422,3,29.0,3,8.0,21.0,17,Only school lessons,perimeter,triangle theory,sinhala,history
19,15,F,4,40,40,2,3.0,157,117,2,9,272,115,2,8,405,133,2,0.0,712.0,307,2,10,744,32,2,13,989,245,2,3,1485.0,496,1,3,1668.0,183,2,6,2199.0,531,4,59.0,42,27.0,32.0,21,figures,set theory,triangle theory,buddhism,history
20,15,F,4,40,40,2,3.0,215,175,2,9,290,75,2,6,395,105,2,0.0,710.0,315,2,10,945,235,2,12,1109,164,2,4,1404.0,295,1,3,1650.0,246,2,7,0.0,480,4,58.0,25,26.0,32.0,21,Only school lessons,area,geometry,buddhism,home science
21,15,M,4,82,82,2,3.0,200,118,2,9,222,22,2,4,328,106,2,0.0,397.0,69,2,4,421,24,1,8,519,98,2,1,2100.0,1581,1,4,2280.0,180,2,2,0.0,512,1,39.0,37,16.0,23.0,17,practicing,set theory,none,maths,health
22,15,M,4,128,128,2,3.0,242,114,2,9,308,66,2,6,392,84,2,0.0,1107.0,715,2,2,1401,294,1,7,1821,420,2,1,0.0,282,1,3,2385.0,564,2,2,0.0,527,2,37.0,39,13.0,24.0,18,practicing,equations,none,sinhala,maths
23,15,M,2,123,123,2,3.0,200,77,2,9,215,15,2,2,622,407,1,0.0,1280.0,658,2,2,2036,756,1,7,2240,204,2,1,2293.0,53,1,1,2336.0,43,2,2,2400.0,64,1,29.0,37,11.0,18.0,16,Only school lessons,fractions,probability,maths,health
24,13,M,3,93,93,2,5.0,253,160,2,9,349,96,2,2,660,311,2,3.0,841.0,181,2,8,1169,328,2,13,1378,209,2,0,1600.0,222,1,3,1953.0,353,2,10,2353.0,400,4,56.0,28,27.0,29.0,21,Only school lessons,nan,none,none,none
25,13,M,4,94,94,2,5.0,251,157,2,9,351,100,2,2,679,328,2,3.0,850.0,171,2,8,1094,244,2,13,1378,284,2,0,1600.0,222,1,3,1948.0,348,2,7,2435.0,487,4,54.0,35,28.0,26.0,21,figures,equations,none,sinhala,none
26,13,M,4,337,337,2,5.0,434,97,2,9,478,44,2,2,775,297,2,1.5,1022.0,247,2,10,1189,167,2,13,1320,131,2,0,1624.0,304,1,3,1920.0,296,2,8,2426.0,506,4,55.5,18,28.5,27.0,21,practicing,equations,none,ict,PTS
27,15,M,2,242,242,1,2.0,473,231,2,4,505,32,1,2,1313,808,1,0.0,1653.0,340,1,0,1854,201,2,4,2048,194,2,0,0.0,60,0,0,0.0,70,0,0,0.0,95,0,14.0,23,6.0,8.0,10,Only school lessons,perimeter,volume and capacity,sinala,health
28,15,M,3,70,70,2,2.0,138,68,2,4,356,218,1,2,917,561,1,0.0,1168.0,251,2,8,1380,212,2,9,1697,317,2,1,0.0,92,1,0,0.0,60,0,0,0.0,85,0,29.0,18,20.0,9.0,13,Only school lessons,equations,circle theory,sinhala,science
29,15,M,4,85,85,2,3.0,234,149,2,9,300,66,2,2,597,297,2,0.0,795.0,198,2,2,1212,417,2,8,2082,870,2,1,0.0,95,1,0,2351.0,258,2,0,2400.0,49,0,29.0,18,14.0,15.0,17,Only school lessons,volume,triangles,health,buddhism
30,15,M,2,200,200,2,2.0,377,177,2,4,578,201,2,2,1305,727,2,0.0,1713.0,408,2,0,1789,213,2,5,1985,196,2,0,2160.0,175,1,0,2308.0,148,2,0,2400.0,92,4,15.0,28,7.0,8.0,21,practicing,equations,simultaneous equations,health,sinhla
31,14,M,6,54,54,2,3.0,110,56,2,6,160,50,2,10,280,120,2,0.0,1037.0,757,2,4,504,224,2,12,713,209,2,4,930.0,217,1,5,1230.0,300,2,2,1690.0,460,4,52.0,78,22.0,30.0,21,practicing,decimals,roman numbers,maths,history
32,13,M ,4,122,75,2,2.0,568,56,2,9,433,89,2,11,1080,239,2,2.0483898608698268,537.0663570781567,311,2,4,2036,494,1,13,1156,72,2,2,1699.5341501821451,1030,0,3,2725.0,572,1,3,2435.0,700,3,6.0,23,25.033208029068074,27.038476675560982,11,figures,perimeter,roman numbers,sinala,none
33,14,F,3,109,179,2,3.460675797094469,380,77,2,5,970,15,2,2,1269,264,2,0.8158276457782371,830.5917451171808,593,2,3,585,0,2,8,1838,548,2,0,1268.0073776035126,693,1,0,1949.9161999375049,610,1,1,1922.5263754406017,170,0,35.91247648596914,28,14.341301510832366,23.21077292517252,20,figures,fractions,simultaneous equations,maths,tamil
34,14,M,5,245,40,2,2.0,309,100,2,1,357,385,2,0,1590,79,2,0.0,592.9548765428831,459,1,9,1474,581,1,0,2128,511,2,2,1851.751250779269,56,1,1,1785.1869559997917,660,1,2,2435.0,144,4,23.569400388721213,18,11.077436660428233,15.937014421244388,14,practicing,percentages,circle theory,science,history
